Language,InventoryID,Source,SpecificDialect,Phoneme,Allophones,Marginal,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,lenis,raisedLarynxEjective,loweredLarynxImplosive,click
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),z,z,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ɡ,ɡ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ɣ,ɣ,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ɾ,ɾ r ɾ̩ r̩ l,False,consonant,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ʃ,ʃ,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ʒ,ʒ,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),i,i,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,0,-,-,0
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),u,u,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,0,-,-,0
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ɑ,ɑ,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,-,-,+,-,-,-,0,0,-,-,0
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ɔ,ɔ,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,0,-,-,0
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ɛ,ɛ,False,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,0,-,-,0
Welsh (Southern),2406,ea,Welsh (Llanwrtyd),d̠ʒ,,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Welsh (Southern),2406,ea,Welsh (Llanwrtyd),f,,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Welsh (Southern),2406,ea,Welsh (Llanwrtyd),h,,False,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
Welsh (Southern),2406,ea,Welsh (Llanwrtyd),j,,False,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-
